type_hotel,location,rating,reviewer,distance,type_bed,area,price
99,hotel,"
No 2 Cho Cau Go , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,5", · 628 đánh giá,"
2,7 km
","
1 giường đôi lớn

",20 m²,"
VND 1.544.400
"
100,hotel,"
No 2 Cho Cau Go , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,5", · 628 đánh giá,"
2,7 km
","
1 giường đôi cực lớn

",20 m²,"
VND 2.489.872
"
101,hotel,"
No 2 Cho Cau Go , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,5", · 628 đánh giá,"
2,7 km
","
1 giường đôi cực lớn

",20 m²,"
VND 2.779.392
"
102,hotel,"
No 2 Cho Cau Go , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,5", · 628 đánh giá,"
2,7 km
","
1 giường đôi lớn

",25 m²,"
VND 3.068.911
"
103,hotel,"
No 2 Cho Cau Go , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,5", · 628 đánh giá,"
2,7 km
","
2 giường đôi lớn

",42 m²,"
VND 3.474.240
"
104,hotel,"
No 2 Cho Cau Go , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,5", · 628 đánh giá,"
2,7 km
","
2 giường đôi

",38 m²,"
VND 6.253.632
"
105,hotel,"
No 2 Cho Cau Go , Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,5", · 628 đánh giá,"
2,7 km
","
1 giường đôi cực lớn

",20 m²,"
VND 1.716.000
"
106,hotel,"
41- 43 Hàng Bông, Hoàn Kiếm , Hà Nội, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 66 đánh giá,"
2,5 km
","
1 giường đôi lớn

",25 m²,"
VND 2.325.600
"
107,hotel,"
41- 43 Hàng Bông, Hoàn Kiếm , Hà Nội, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 66 đánh giá,"
2,5 km
","
2 giường đơn

",25 m²,"
VND 2.325.600
"
108,hotel,"
41- 43 Hàng Bông, Hoàn Kiếm , Hà Nội, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 66 đánh giá,"
2,5 km
","
1 giường đôi

",28 m²,"
VND 2.674.440
"
109,hotel,"
41- 43 Hàng Bông, Hoàn Kiếm , Hà Nội, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 66 đánh giá,"
2,5 km
","
1 giường đôi

",28 m²,"
VND 3.040.000
"
110,hotel,"
41- 43 Hàng Bông, Hoàn Kiếm , Hà Nội, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 66 đánh giá,"
2,5 km
","
1 giường đôi lớn

",35 m²,"
VND 3.880.000
"
111,hotel,"
41- 43 Hàng Bông, Hoàn Kiếm , Hà Nội, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 66 đánh giá,"
2,5 km
","
2 giường đơn

",50 m²,"
VND 5.200.000
"
112,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
1 giường đôi

",25 m²,"
VND 1.638.203
"
113,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
2 giường đơn

",28 m²,"
VND 1.638.203
"
114,hotel,"
47 Lo Su, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,1", · 485 đánh giá,"
2,3 km
","
2 giường đơn

",28 m²,"
VND 1.804.800
"
